Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
18/11/2021 16:13,2597159.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,18/11/2021,16:13:17,1H:12M,44518.67589
19/01/2021 19:01,1293740.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,19/01/2021,19:01:03,15H:46M,44215.7924
19/09/2021 00:53,2464208.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,19/09/2021,0:53:11,1H:44M,44458.03693
20/01/2021 18:29,1299865.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Hardware Fatal,ATM Hardware,RP Fatal,Hyosung,20/01/2021,18:29:02,19H:34M,44216.77016
20/02/2021 13:33,1511325.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,20/02/2021,13:33:04,23H:46M,44247.56463
20/03/2021 07:53,1690743.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,Bank Related,Bank Access Issue,Hyosung,20/03/2021,7:53:04,2D:2H,44275.32852
20/06/2021 10:33,2195803.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,20/06/2021,10:33:05,14H:22M,44367.43964
21/01/2021 21:39,1305319.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,21/01/2021,21:39:03,0H:20M,44217.90212
21/02/2021 13:11,1514115.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,21/02/2021,13:11:01,21H:0M,44248.54932
21/06/2021 00:53,2196476.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,21/06/2021,0:53:05,16H:20M,44368.03686
21/08/2021 14:43,2387525.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,21/08/2021,14:43:07,8H:50M,44429.61328
21/08/2021 23:53,2388615.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,21/08/2021,23:53:06,2D:11H,44429.99521
22/02/2021 12:21,1516667.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,22/02/2021,12:21:02,0H:50M,44249.51461
22/02/2021 18:13,1522759.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,22/02/2021,18:13:02,2H:2M,44249.75905
