Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
10/03/2021 13:03,1629537.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,10/03/2021,13:03:49,1H:0M,44265.54432
11/02/2021 20:57,1450577.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,11/02/2021,20:57:15,13H:1M,44238.87309
11/03/2021 14:33,1635190.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Supervisory,ATM Hardware,Supervisory On,NCR,11/03/2021,14:33:11,2H:28M,44266.60638
11/06/2021 13:53,2168224.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,11/06/2021,13:53:15,0H:42M,44358.57865
11/08/2021 12:23,2361028.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Supervisory,ATM Hardware,Supervisory On,NCR,11/08/2021,12:23:22,4H:45M,44419.51623
12/07/2021 16:23,2269312.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Cash Out,Cash Related,Cash out,NCR,12/07/2021,16:23:11,1H:59M,44389.68277
13/03/2021 13:13,1646672.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,13/03/2021,13:13:09,0H:20M,44268.5508
15/03/2021 05:03,1650084.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,Bank Related,Bank Strike,NCR,15/03/2021,5:03:32,2D:7H,44270.21079
15/03/2021 12:53,1651058.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,15/03/2021,12:53:15,0H:20M,44270.53698
15/03/2021 13:33,1651321.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,15/03/2021,13:33:10,0H:30M,44270.5647
15/09/2021 08:46,2455363.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,15/09/2021,8:46:57,7H:36M,44454.36594
15/10/2021 10:15,2530435.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,NCR,15/10/2021,10:15:51,3H:48M,44484.42767
16/02/2021 17:23,1485051.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,Supervisory,ATM Hardware,Supervisory On,NCR,16/02/2021,17:23:38,0H:6M,44243.72475
16/10/2021 08:25,2532625.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Direct,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,NCR,16/10/2021,8:25:25,4H:24M,44485.35098
17/03/2021 17:53,1670124.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,17/03/2021,17:53:24,0H:29M,44272.74542
18/02/2021 21:01,1502215.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,18/02/2021,21:01:13,14H:39M,44245.87584
18/03/2021 12:03,1673457.0,Trivandrum,Platinum,H1,S1BB005080002,Kerala,"C-8/68, WHITE HOUSE",Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,NCR,18/03/2021,12:03:43,1H:10M,44273.50258
